#FormatVersion 1
#Precinct,Precinct ID,Precinct Reporting,"Registered Voters","Ballots Cast","Turnout Percentage",Contest Title,Contest ID,Contest Party,Choice Name,Choice ID,Choice Party,Total Votes,Total Overvotes,Total Undervotes,Total Invalid Votes,"Mail Ballots Votes","Mail Ballots Overvotes","Mail Ballots Undervotes","Mail Ballots Invalid Votes"
"101002-BT112",589,Reporting         ,425,196,46.12,"President and Vice President",50,"","Joseph R. Biden Kamala D. Harris",5,"DEM",117,2,1,0,117,2,1,0
"101002-BT112",589,Reporting         ,425,196,46.12,"President and Vice President",50,"","Donald J. Trump Michael R. Pence",6,"REP",71,2,1,0,71,2,1,0
"101002-BT112",589,Reporting         ,425,196,46.12,"President and Vice President",50,"","Gloria La Riva Sunil Freeman",2,"PAF",2,2,1,0,2,2,1,0
"101002-BT112",589,Reporting         ,425,196,46.12,"President and Vice President",50,"","Roque ""Rocky"" De La Fuente Guerra Kanye Omari West",4,"AI",1,2,1,0,1,2,1,0
"101002-BT112",589,Reporting         ,425,196,46.12,"President and Vice President",50,"","Howie Hawkins Angela Nicole Walker",1,"GRN",1,2,1,0,1,2,1,0
"101002-BT112",589,Reporting         ,425,196,46.12,"President and Vice President",50,"","Jo Jorgensen Jeremy ""Spike"" Cohen",3,"LIB",1,2,1,0,1,2,1,0
"101002-BT112",589,Reporting         ,425,196,46.12,"President and Vice President",50,"","Brian Carroll and Amar Patel",0,"",0,2,1,0,0,2,1,0
"101002-BT112",589,Reporting         ,425,196,46.12,"President and Vice President",50,"","Brock Pierce and Karla Ballard",0,"",0,2,1,0,0,2,1,0
"101002-BT112",589,Reporting         ,425,196,46.12,"President and Vice President",50,"","Jesse Ventura and Cynthia McKinney",0,"",0,2,1,0,0,2,1,0
"101002-BT112",589,Reporting         ,425,196,46.12,"President and Vice President",50,"","Joseph Kishore and Norissa Santa Cruz",0,"",0,2,1,0,0,2,1,0
